时间点,房间ID,耗时,倍数,茶水费,基础银,基础分,房间下限,对局类型,玩家1,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家2,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家3,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,是否是不洗牌做牌,正式打牌时间,玩家1机器人版本,玩家2机器人版本,玩家3机器人版本,游戏开始时间
2025-05-26 14:51:42,188,154,24,24000,1500,1,70000,0,1109892,65,机器人,地主,119820,127820,239640,0,1,1,1109949,65,机器人,农民,-59910,398280,330370,0,0,0,1110141,65,机器人,农民,-59910,252375,184465,0,0,0,是,134,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748242148
2025-05-26 14:51:46,188,86,192,24000,1500,1,70000,0,1110036,65,机器人,地主,177110,232600,401710,0,0,0,1110055,65,机器人,农民,-112300,157275,36975,0,1,1,1109715,65,机器人,农民,-64810,72810,0,0,0,0,是,74,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748242218
2025-05-26 14:51:53,188,49,96,24000,1500,1,70000,0,1110100,65,机器人,地主,71828,79829,143657,0,1,1,1109688,65,机器人,农民,-35914,71100,27186,0,0,0,1109922,65,机器人,农民,-35914,197080,153166,0,1,1,是,35,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748242263
2025-05-26 14:52:12,188,56,96,24000,1500,1,70000,0,1109716,65,机器人,地主,174904,182904,349808,0,0,0,1109693,65,机器人,农民,-87452,154350,58898,0,0,0,1109813,65,机器人,农民,-87452,154825,59373,0,0,0,是,43,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748242275
2025-05-26 14:52:16,188,26,24,24000,1500,1,70000,0,1109957,65,机器人,地主,149322,174705,316027,0,1,1,1109886,65,机器人,农民,-83352,224910,133558,0,0,0,1110158,65,机器人,农民,-65970,73970,0,0,0,0,是,9,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748242309
2025-05-26 14:52:16,188,110,96,24000,1500,1,70000,0,1109861,65,机器人,地主,-160805,198520,29715,0,1,1,1109720,65,机器人,农民,95260,155090,242350,0,1,1,1109875,65,机器人,农民,65545,73545,131090,0,0,0,是,101,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748242225
2025-05-26 14:52:47,188,52,24,24000,1500,1,70000,0,1109892,65,机器人,地主,180840,239640,412480,0,1,1,1109949,65,机器人,农民,-115820,330370,206550,0,0,0,1110201,65,机器人,农民,-65020,73020,0,0,0,0,是,40,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748242315
2025-05-26 14:53:12,188,70,48,24000,1500,1,70000,0,1109925,65,机器人,地主,62540,70540,125080,0,0,0,1109729,65,机器人,农民,-31270,74380,35110,0,1,1,1109797,65,机器人,农民,-31270,154900,115630,0,0,0,是,57,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748242321
2025-05-26 14:53:15,188,50,12,24000,1500,1,70000,0,1109671,65,机器人,地主,106624,114625,213249,0,1,1,1109716,65,机器人,农民,-53312,349808,288496,0,0,0,1109866,65,机器人,农民,-53312,199050,137738,0,0,0,是,28,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748242345
2025-05-26 14:53:42,188,19,6,24000,1500,1,70000,0,1109925,65,机器人,地主,72000,125080,189080,0,0,0,1109797,65,机器人,农民,-36000,115630,71630,0,0,0,1109892,65,机器人,农民,-36000,412480,368480,0,1,1,是,8,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748242403
